Location,Time,Lighting,Traffic_Density,Crime_Rate,Police_Presence,Public_Transport_Availability,CCTV_Presence,Population_Density,Safe_Road
Industrial Zone,02:11,Moderately-lit,0.16,0.74,0,0,0,0.18,0
Industrial Zone,04:14,Poorly-lit,0.2,0.55,0,0,0,0.28,0
Main Road,23:30,Moderately-lit,0.25,0.47,0,1,1,0.15,0
University Campus,00:26,No lighting,0.41,0.22,1,0,0,0.45,0
University Campus,20:06,Moderately-lit,0.35,0.15,1,0,1,0.4,1
Residential Area,03:56,Well-lit,0.14,0.17,1,0,0,0.5,1
Market Area,00:26,Well-lit,0.06,0.38,0,0,0,0.84,1
Main Road,18:21,Poorly-lit,0.05,0.25,1,1,0,0.11,0
Industrial Zone,04:35,No lighting,0.03,0.59,1,0,1,0.18,1
Market Area,21:09,Poorly-lit,0.38,0.36,0,1,0,0.74,0
Park,02:34,No lighting,0.2,0.45,0,0,0,0.28,0
Main Road,20:39,No lighting,0.1,0.31,1,1,1,0.12,1
Market Area,00:48,Moderately-lit,0.8,0.41,1,0,0,0.79,0
University Campus,00:19,Well-lit,0.04,0.24,1,0,1,0.45,1
Suburban Street,20:11,Well-lit,0.59,0.26,1,1,1,0.59,1
Residential Area,05:40,Poorly-lit,0.59,0.12,1,0,0,0.53,1
Main Road,02:13,Poorly-lit,0.03,0.49,0,1,1,0.2,0
Main Road,01:24,Moderately-lit,0.02,0.35,1,1,0,0.18,0
Commercial District,20:54,Moderately-lit,0.12,0.62,0,0,1,0.83,0
Alleyway,19:28,Poorly-lit,0.16,0.74,0,0,0,0.25,0
Alleyway,05:28,No lighting,0.46,0.8,0,0,0,0.18,0
Market Area,03:53,Well-lit,0.15,0.4,1,0,0,0.77,1
Commercial District,01:57,No lighting,0.18,0.43,1,1,1,0.89,1
Park,19:24,Poorly-lit,0.54,0.71,0,0,0,0.18,0
Alleyway,03:39,No lighting,0.19,0.8,1,0,0,0.24,0
Market Area,00:32,No lighting,0.53,0.54,0,0,0,0.84,1
Suburban Street,01:18,No lighting,0.23,0.37,0,0,0,0.46,0
Main Road,19:33,Poorly-lit,0.07,0.54,1,1,0,0.2,0
Residential Area,04:01,Poorly-lit,0.89,0.31,1,0,1,0.41,0
Industrial Zone,04:18,No lighting,0.09,0.8,0,0,0,0.21,0
Main Road,21:29,Well-lit,0.22,0.32,1,1,1,0.13,1
Industrial Zone,19:57,Poorly-lit,0.17,0.64,0,0,1,0.14,0
Residential Area,22:49,Poorly-lit,0.02,0.17,1,0,1,0.56,1
Alleyway,03:08,Well-lit,0.17,0.78,0,0,0,0.25,0
University Campus,18:14,Poorly-lit,0.69,0.42,0,0,0,0.4,0
Industrial Zone,01:14,Well-lit,0.23,0.75,1,0,0,0.15,1
Alleyway,19:38,Well-lit,0.01,0.86,0,0,0,0.16,0
Residential Area,04:15,Moderately-lit,0.42,0.09,1,0,0,0.45,0
Industrial Zone,02:39,No lighting,0.66,0.73,0,0,0,0.14,0
Industrial Zone,02:05,Well-lit,0.19,0.64,1,1,1,0.23,1
Industrial Zone,18:15,No lighting,0.03,0.6,0,0,0,0.29,1
University Campus,00:49,No lighting,0.08,0.2,1,0,0,0.49,0
Suburban Street,04:17,Moderately-lit,0.58,0.27,1,0,1,0.5,1
Public Transport Hub,02:06,Moderately-lit,0.57,0.65,0,0,1,0.73,0
Park,00:02,No lighting,0.63,0.56,0,0,0,0.21,0
Commercial District,01:07,Poorly-lit,0.31,0.55,1,1,1,0.85,1
Industrial Zone,00:05,Poorly-lit,0.17,0.77,0,0,1,0.3,0
Alleyway,19:16,Well-lit,0.0,0.95,0,1,0,0.27,0
Suburban Street,03:23,Moderately-lit,0.02,0.31,1,0,0,0.52,0
University Campus,05:17,No lighting,0.24,0.18,1,0,0,0.46,0
Alleyway,03:35,Poorly-lit,0.43,0.91,0,1,0,0.26,0
Alleyway,02:55,Moderately-lit,0.08,0.78,0,0,0,0.18,0
Park,23:07,Well-lit,0.21,0.67,1,1,0,0.16,0
Market Area,20:54,No lighting,0.03,0.41,1,1,0,0.78,0
Main Road,21:51,Well-lit,0.02,0.41,0,1,0,0.19,1
Main Road,23:12,Well-lit,0.63,0.34,1,1,0,0.29,1
Market Area,03:12,Well-lit,0.02,0.45,1,0,1,0.87,1
Suburban Street,19:23,Poorly-lit,0.52,0.18,1,0,0,0.46,0
Industrial Zone,00:55,Poorly-lit,0.23,0.61,1,1,0,0.12,0
Market Area,05:30,Well-lit,0.05,0.51,1,0,1,0.74,1
University Campus,21:02,Moderately-lit,0.72,0.2,1,1,1,0.57,1
Suburban Street,04:34,No lighting,0.46,0.3,1,1,1,0.56,1
Market Area,03:00,Moderately-lit,0.08,0.35,1,1,1,0.74,0
Alleyway,03:28,Well-lit,0.59,0.76,1,0,0,0.25,1
Public Transport Hub,01:07,Poorly-lit,0.06,0.62,0,1,1,0.84,0
Park,21:51,Poorly-lit,0.49,0.58,1,1,0,0.18,0
University Campus,22:56,Moderately-lit,0.04,0.32,1,0,0,0.51,0
University Campus,19:38,No lighting,0.62,0.19,1,1,0,0.45,0
Suburban Street,01:42,No lighting,0.02,0.33,1,1,0,0.59,0
Industrial Zone,22:23,No lighting,0.15,0.6,0,1,0,0.19,0
Public Transport Hub,20:49,No lighting,0.13,0.64,0,1,1,0.73,0
Public Transport Hub,02:09,Well-lit,0.37,0.41,1,0,1,0.88,1
Residential Area,02:24,Poorly-lit,0.15,0.14,1,0,0,0.59,0
Park,01:44,Well-lit,0.14,0.58,1,0,1,0.16,0
Suburban Street,02:01,No lighting,0.55,0.39,1,0,0,0.47,0
Main Road,21:17,Moderately-lit,0.43,0.32,1,1,1,0.28,1
University Campus,05:26,Well-lit,0.14,0.41,0,0,0,0.59,1
University Campus,20:48,Well-lit,0.74,0.3,0,0,0,0.51,0
University Campus,04:21,Moderately-lit,0.04,0.3,1,1,0,0.42,1
Suburban Street,21:50,Moderately-lit,0.41,0.27,1,0,1,0.49,1
Market Area,20:42,Moderately-lit,0.48,0.32,1,1,0,0.86,1
Suburban Street,02:10,Poorly-lit,0.17,0.39,1,0,0,0.45,0
Suburban Street,00:04,Moderately-lit,0.07,0.18,1,1,1,0.45,1
Main Road,04:44,Well-lit,0.5,0.38,0,1,1,0.13,1
Commercial District,00:17,Poorly-lit,0.13,0.58,1,1,1,0.78,1
Commercial District,18:58,Poorly-lit,0.82,0.58,1,1,1,0.7,1
Commercial District,02:16,Poorly-lit,0.58,0.63,0,1,1,0.74,0
Park,18:58,Poorly-lit,0.28,0.66,1,0,1,0.22,0
Public Transport Hub,02:57,No lighting,0.1,0.55,0,1,1,0.8,0
Park,00:36,No lighting,0.11,0.57,0,1,1,0.25,0
University Campus,05:23,No lighting,0.46,0.4,1,0,1,0.55,0
Industrial Zone,04:13,No lighting,0.28,0.68,0,0,1,0.28,0
University Campus,03:08,No lighting,0.61,0.32,0,0,1,0.42,0
Main Road,02:09,No lighting,0.19,0.29,1,1,0,0.18,0
Park,03:15,No lighting,0.12,0.65,0,1,0,0.13,0
Commercial District,01:37,Well-lit,0.82,0.47,0,0,0,0.88,1
Public Transport Hub,19:25,No lighting,0.17,0.43,1,1,1,0.71,1
Park,00:57,No lighting,0.69,0.45,1,0,1,0.1,0
Alleyway,00:59,Poorly-lit,0.04,0.94,0,0,1,0.23,0
Public Transport Hub,02:09,Moderately-lit,0.06,0.41,0,1,1,0.79,1
Industrial Zone,02:40,Moderately-lit,0.14,0.57,0,0,0,0.29,0
Public Transport Hub,19:04,Moderately-lit,0.73,0.47,1,1,1,0.86,1
Park,00:28,Moderately-lit,0.63,0.61,1,1,1,0.16,1
Market Area,02:14,No lighting,0.12,0.38,1,1,0,0.79,0
Alleyway,23:23,No lighting,0.17,0.85,0,1,0,0.25,0
Industrial Zone,18:34,Moderately-lit,0.15,0.79,0,0,0,0.29,0
Public Transport Hub,18:42,Moderately-lit,0.28,0.49,1,1,1,0.73,1
Main Road,02:58,No lighting,0.3,0.31,0,1,1,0.13,0
Commercial District,01:28,Well-lit,0.04,0.35,0,1,0,0.86,1
University Campus,04:25,Moderately-lit,0.65,0.4,0,1,1,0.55,0
Alleyway,20:38,No lighting,0.13,0.78,0,0,1,0.11,0
University Campus,22:18,No lighting,0.22,0.21,1,0,0,0.48,0
Public Transport Hub,01:44,No lighting,0.3,0.53,1,1,1,0.86,1
Public Transport Hub,04:44,Well-lit,0.21,0.62,0,0,1,0.78,1
Public Transport Hub,02:45,Moderately-lit,0.1,0.44,0,1,1,0.71,1
University Campus,20:08,Poorly-lit,0.31,0.43,1,0,0,0.5,0
Market Area,19:12,Poorly-lit,0.35,0.25,1,0,0,0.81,0
Alleyway,04:32,No lighting,0.21,0.73,0,0,0,0.19,0
Public Transport Hub,02:49,Well-lit,0.3,0.5,1,1,1,0.74,1
Public Transport Hub,21:49,Poorly-lit,0.0,0.45,1,0,1,0.87,0
Residential Area,04:56,Well-lit,0.07,0.31,1,1,0,0.54,1
Commercial District,18:59,Poorly-lit,0.58,0.58,1,1,1,0.89,1
Market Area,19:39,Moderately-lit,0.04,0.32,1,0,1,0.78,1
University Campus,19:08,No lighting,0.18,0.28,1,1,1,0.6,1
Commercial District,00:41,Moderately-lit,0.13,0.43,1,1,1,0.74,1
Public Transport Hub,04:08,Moderately-lit,0.37,0.39,1,0,1,0.79,1
Market Area,22:33,Well-lit,0.1,0.41,0,0,0,0.71,1
Park,01:21,No lighting,0.39,0.71,0,1,0,0.15,0
Main Road,03:39,Poorly-lit,0.03,0.27,0,0,1,0.17,0
Suburban Street,05:11,No lighting,0.04,0.23,1,0,1,0.52,0
Suburban Street,03:27,Poorly-lit,0.07,0.38,1,0,0,0.42,0
Commercial District,03:37,Poorly-lit,0.19,0.45,0,1,0,0.83,0
Park,00:51,Moderately-lit,0.13,0.7,1,1,0,0.12,0
Commercial District,20:53,Poorly-lit,0.76,0.46,1,0,1,0.76,0
Industrial Zone,23:30,Moderately-lit,0.06,0.81,0,1,0,0.11,0
Industrial Zone,23:49,Poorly-lit,0.42,0.61,0,0,0,0.13,0
Industrial Zone,22:03,Well-lit,0.21,0.73,1,0,0,0.24,1
Commercial District,01:47,Moderately-lit,0.13,0.58,0,0,1,0.89,0
Park,00:50,Well-lit,0.28,0.72,0,0,1,0.17,0
Commercial District,05:08,No lighting,0.1,0.43,1,0,0,0.72,0
Public Transport Hub,01:08,No lighting,0.21,0.58,0,1,0,0.74,0
Public Transport Hub,00:46,Poorly-lit,0.21,0.43,1,0,1,0.82,0
Residential Area,04:36,No lighting,0.45,0.28,1,1,1,0.49,1
Suburban Street,20:19,Moderately-lit,0.22,0.36,1,0,0,0.47,0
Market Area,18:42,Well-lit,0.23,0.46,1,1,0,0.75,1
University Campus,20:25,Poorly-lit,0.27,0.21,1,0,0,0.55,0
Public Transport Hub,01:38,Well-lit,0.15,0.65,0,1,1,0.76,1
Main Road,05:27,Well-lit,0.39,0.38,1,1,1,0.26,1
Market Area,18:27,Moderately-lit,0.59,0.34,0,0,0,0.8,0
Market Area,18:49,Poorly-lit,0.4,0.5,0,1,1,0.77,0
Public Transport Hub,03:23,Moderately-lit,0.61,0.39,1,1,1,0.74,1
Market Area,02:10,No lighting,0.66,0.39,1,0,0,0.89,0
Park,03:12,Poorly-lit,0.13,0.52,0,0,0,0.21,0
University Campus,03:31,No lighting,0.6,0.32,1,0,0,0.45,0
Public Transport Hub,05:25,Well-lit,0.62,0.44,0,1,1,0.72,1
Main Road,01:04,No lighting,0.8,0.49,1,0,1,0.26,0
Commercial District,18:37,Well-lit,0.52,0.58,1,1,1,0.73,1
Commercial District,18:31,No lighting,0.66,0.6,1,1,1,0.77,1
Market Area,00:41,Moderately-lit,0.32,0.4,1,0,1,0.7,1
Residential Area,03:28,Well-lit,0.27,0.3,1,0,0,0.57,1
Suburban Street,19:58,No lighting,0.72,0.21,1,1,1,0.46,1
Public Transport Hub,19:14,Poorly-lit,0.15,0.4,1,1,1,0.88,1
Residential Area,03:10,Moderately-lit,0.15,0.31,0,1,0,0.57,0
Market Area,18:40,Moderately-lit,0.55,0.53,0,1,0,0.71,0
Alleyway,22:57,Well-lit,0.07,0.81,0,0,0,0.29,0
Market Area,00:26,Moderately-lit,0.15,0.49,1,0,1,0.9,1
Industrial Zone,00:33,Poorly-lit,0.31,0.82,0,0,0,0.18,0
Commercial District,03:01,No lighting,0.12,0.54,0,1,1,0.89,0
Main Road,03:04,Well-lit,0.01,0.32,1,1,0,0.13,1
Main Road,23:34,Poorly-lit,0.35,0.31,1,0,0,0.24,0
Market Area,21:41,Moderately-lit,0.01,0.37,1,1,0,0.85,1
Industrial Zone,03:14,Poorly-lit,0.58,0.77,0,0,0,0.2,0
Park,04:38,Poorly-lit,0.42,0.63,0,0,0,0.11,1
Main Road,21:44,Well-lit,0.43,0.29,0,0,1,0.13,1
Industrial Zone,22:37,Poorly-lit,0.14,0.65,0,0,0,0.24,0
Residential Area,23:08,Well-lit,0.17,0.28,0,1,0,0.58,1
Industrial Zone,22:35,No lighting,0.39,0.7,0,1,1,0.25,0
Public Transport Hub,23:58,Poorly-lit,0.07,0.49,1,1,0,0.74,0
Market Area,22:44,No lighting,0.01,0.39,1,1,0,0.88,1
Main Road,20:13,Moderately-lit,0.03,0.45,0,1,1,0.29,0
Commercial District,23:55,Poorly-lit,0.53,0.46,1,0,1,0.81,0
Main Road,04:58,Well-lit,0.3,0.43,0,1,1,0.17,1
Commercial District,01:14,No lighting,0.58,0.4,0,1,0,0.75,0
Suburban Street,18:21,Moderately-lit,0.02,0.33,1,0,0,0.45,0
Public Transport Hub,04:29,No lighting,0.1,0.6,1,1,1,0.73,1
Alleyway,19:13,Well-lit,0.22,0.88,0,0,0,0.22,0
Commercial District,18:35,No lighting,0.03,0.53,1,1,1,0.77,0
Public Transport Hub,04:40,Well-lit,0.74,0.37,0,0,0,0.72,1
Market Area,00:09,Poorly-lit,0.6,0.53,0,0,0,0.79,0
Commercial District,01:50,Moderately-lit,0.32,0.45,1,1,1,0.7,1
Commercial District,18:58,Moderately-lit,0.24,0.6,0,0,1,0.75,0
Residential Area,21:02,No lighting,0.57,0.3,1,0,1,0.59,0
Commercial District,22:01,Well-lit,0.32,0.6,0,1,1,0.75,1
Market Area,04:58,No lighting,0.36,0.42,1,0,0,0.78,0
Industrial Zone,02:30,Poorly-lit,0.03,0.84,0,0,0,0.3,1
Commercial District,00:16,Moderately-lit,0.27,0.53,1,1,0,0.87,1
Commercial District,05:34,No lighting,0.07,0.61,1,1,1,0.72,1
Commercial District,02:40,Well-lit,0.32,0.47,1,1,1,0.78,1
Park,22:37,Well-lit,0.02,0.61,0,1,0,0.15,1
Main Road,20:49,Well-lit,0.06,0.38,0,1,1,0.11,1
Park,22:59,Well-lit,0.29,0.73,0,1,0,0.18,0
Park,19:21,Well-lit,0.35,0.75,0,0,0,0.21,0
University Campus,05:24,Moderately-lit,0.04,0.4,1,0,0,0.6,0
Suburban Street,02:20,No lighting,0.16,0.38,0,1,0,0.53,0
Residential Area,03:24,No lighting,0.44,0.25,1,0,0,0.54,0
Residential Area,19:17,Well-lit,0.13,0.25,1,1,0,0.55,1
Alleyway,02:35,Well-lit,0.02,0.94,0,1,0,0.12,0
Industrial Zone,01:16,Poorly-lit,0.0,0.6,0,0,0,0.27,0
Residential Area,18:54,Moderately-lit,0.04,0.34,1,1,0,0.57,1
Public Transport Hub,23:00,Poorly-lit,0.36,0.35,0,1,1,0.8,0
Suburban Street,02:33,Moderately-lit,0.03,0.18,1,1,1,0.57,1
Alleyway,03:58,Well-lit,0.07,0.94,1,0,0,0.24,0
Suburban Street,22:20,Poorly-lit,0.24,0.22,1,0,0,0.59,0
Industrial Zone,21:49,Moderately-lit,0.12,0.66,1,1,1,0.24,1
Suburban Street,04:15,No lighting,0.38,0.41,0,0,0,0.58,0
Market Area,22:39,Well-lit,0.29,0.38,0,0,0,0.73,1
Main Road,21:56,No lighting,0.1,0.36,0,1,1,0.28,0
Industrial Zone,22:42,No lighting,0.08,0.82,0,0,0,0.26,0
Suburban Street,00:22,Poorly-lit,0.53,0.2,1,0,0,0.59,0
Park,02:25,Poorly-lit,0.38,0.63,0,1,0,0.2,0
Industrial Zone,03:50,Moderately-lit,0.14,0.6,0,1,0,0.22,0
Commercial District,21:44,Moderately-lit,0.08,0.45,1,1,1,0.88,1
Alleyway,01:04,Moderately-lit,0.03,0.88,1,0,0,0.28,0
Residential Area,20:52,No lighting,0.05,0.08,1,0,0,0.47,0
Market Area,01:05,Well-lit,0.04,0.26,1,1,0,0.77,1
Public Transport Hub,04:37,Poorly-lit,0.01,0.54,1,1,1,0.88,1
Alleyway,22:13,Moderately-lit,0.07,0.86,1,1,1,0.1,1
Industrial Zone,21:41,No lighting,0.34,0.63,1,0,0,0.23,0
Alleyway,19:41,No lighting,0.19,0.9,0,0,1,0.26,0
Industrial Zone,02:57,Well-lit,0.07,0.72,0,0,0,0.27,0
Commercial District,02:28,Well-lit,0.09,0.41,1,1,0,0.82,1
Public Transport Hub,19:29,No lighting,0.27,0.58,0,1,1,0.74,0
Park,20:10,Moderately-lit,0.42,0.57,0,0,0,0.3,0
University Campus,23:42,Poorly-lit,0.36,0.33,1,0,0,0.54,0
Residential Area,00:23,No lighting,0.42,0.27,1,1,0,0.5,0
Market Area,04:02,Moderately-lit,0.1,0.52,1,0,1,0.71,1
Public Transport Hub,04:45,Poorly-lit,0.01,0.48,1,1,1,0.87,1
Commercial District,00:50,No lighting,0.03,0.6,0,1,1,0.75,0
Park,20:47,No lighting,0.09,0.69,0,0,0,0.16,0
Suburban Street,03:51,Poorly-lit,0.48,0.22,1,0,0,0.5,0
Market Area,22:54,No lighting,0.09,0.31,1,0,0,0.89,0
Industrial Zone,18:36,Well-lit,0.49,0.69,0,0,0,0.11,0
Market Area,23:00,Moderately-lit,0.06,0.34,0,0,0,0.74,0
Alleyway,23:09,Well-lit,0.68,0.81,0,1,1,0.15,1
Public Transport Hub,21:36,Poorly-lit,0.35,0.61,0,1,1,0.82,0
Main Road,23:52,Moderately-lit,0.54,0.37,1,0,1,0.3,1
Market Area,05:47,Poorly-lit,0.19,0.26,0,1,0,0.84,0
Suburban Street,22:02,Moderately-lit,0.29,0.27,1,0,0,0.43,0
Suburban Street,05:31,Moderately-lit,0.18,0.4,0,0,0,0.46,0
Residential Area,20:07,Well-lit,0.06,0.17,1,1,1,0.55,1
Market Area,21:14,No lighting,0.12,0.52,1,0,1,0.85,0
University Campus,20:06,Well-lit,0.36,0.42,1,0,1,0.5,0
Industrial Zone,00:00,Well-lit,0.39,0.73,0,1,0,0.25,0
Industrial Zone,23:49,Well-lit,0.1,0.7,0,0,0,0.22,0
Market Area,20:01,No lighting,0.31,0.42,0,1,0,0.81,0
Residential Area,05:59,Well-lit,0.17,0.11,1,0,0,0.49,1
Commercial District,05:07,Well-lit,0.33,0.52,0,1,1,0.7,1
Market Area,21:20,Poorly-lit,0.01,0.39,1,0,0,0.75,0
Alleyway,01:59,Well-lit,0.17,0.76,0,0,0,0.23,0
Industrial Zone,05:39,Well-lit,0.55,0.82,0,1,0,0.28,0
University Campus,22:33,Well-lit,0.61,0.16,1,1,0,0.43,1
Park,21:32,Poorly-lit,0.4,0.63,0,0,1,0.12,0
Market Area,18:35,Moderately-lit,0.78,0.26,0,0,0,0.72,0
Public Transport Hub,01:48,Poorly-lit,0.43,0.51,0,1,1,0.72,0
Market Area,20:00,No lighting,0.24,0.28,1,1,1,0.77,1
Park,19:31,Moderately-lit,0.02,0.63,1,1,0,0.19,0
Park,02:08,No lighting,0.01,0.69,0,0,1,0.13,1
University Campus,20:46,Moderately-lit,0.52,0.4,0,0,1,0.56,0
Market Area,23:58,Moderately-lit,0.47,0.29,0,1,0,0.79,0
Main Road,19:19,No lighting,0.25,0.53,1,1,0,0.28,0
Commercial District,20:08,Well-lit,0.22,0.59,1,0,0,0.78,1
Commercial District,01:37,Poorly-lit,0.3,0.45,1,1,1,0.87,1
Residential Area,18:08,Poorly-lit,0.35,0.24,1,1,0,0.43,0
Alleyway,00:40,Moderately-lit,0.44,0.68,0,1,0,0.14,0
University Campus,21:24,Poorly-lit,0.14,0.39,1,1,0,0.4,0
Alleyway,18:56,Poorly-lit,0.04,0.67,0,0,0,0.2,0
Commercial District,03:02,Well-lit,0.55,0.57,1,0,1,0.72,1
University Campus,20:08,Moderately-lit,0.17,0.31,1,0,0,0.46,0
Residential Area,19:50,Moderately-lit,0.34,0.24,0,0,1,0.54,0
Industrial Zone,22:47,Poorly-lit,0.11,0.58,0,0,0,0.25,0
Suburban Street,00:16,No lighting,0.24,0.39,1,0,0,0.58,0
Market Area,21:15,Moderately-lit,0.21,0.32,1,0,0,0.88,1
Market Area,22:05,Well-lit,0.2,0.26,1,0,0,0.8,1
Residential Area,22:12,No lighting,0.11,0.25,1,0,0,0.45,0
Industrial Zone,00:58,Well-lit,0.37,0.63,1,1,0,0.21,0
Public Transport Hub,18:07,Moderately-lit,0.1,0.52,1,1,0,0.9,1
Public Transport Hub,18:08,Poorly-lit,0.25,0.39,1,1,1,0.75,1
Main Road,03:40,Well-lit,0.58,0.37,1,1,0,0.26,1
Market Area,02:16,No lighting,0.02,0.28,1,0,0,0.9,0
Main Road,03:26,No lighting,0.04,0.38,1,0,0,0.2,0
Main Road,02:18,Well-lit,0.46,0.41,0,1,1,0.25,1
Commercial District,05:49,Poorly-lit,0.5,0.56,0,1,0,0.88,0
Park,04:54,Poorly-lit,0.06,0.65,1,1,0,0.15,0
Market Area,04:32,No lighting,0.74,0.45,1,0,0,0.85,0
Industrial Zone,03:10,Moderately-lit,0.18,0.59,0,1,1,0.29,0
Public Transport Hub,21:54,Poorly-lit,0.02,0.59,0,1,1,0.81,0
Main Road,00:57,Well-lit,0.46,0.34,1,1,0,0.14,1
Industrial Zone,19:06,No lighting,0.19,0.8,0,0,1,0.27,0
Commercial District,19:59,Moderately-lit,0.34,0.6,0,0,0,0.85,0
Alleyway,20:33,Moderately-lit,0.15,0.68,0,0,1,0.24,0
Public Transport Hub,22:30,Well-lit,0.32,0.5,1,1,1,0.71,1
Public Transport Hub,21:33,No lighting,0.2,0.43,1,1,1,0.85,1
Main Road,00:01,No lighting,0.1,0.33,0,0,1,0.13,0
University Campus,05:51,Well-lit,0.25,0.18,1,0,1,0.49,1
Suburban Street,19:19,Poorly-lit,0.02,0.33,1,1,0,0.48,0
Industrial Zone,04:02,No lighting,0.0,0.85,0,1,0,0.18,1
Suburban Street,19:05,No lighting,0.33,0.3,1,1,0,0.44,0
Residential Area,02:00,Poorly-lit,0.24,0.23,1,0,0,0.54,0
Public Transport Hub,23:57,No lighting,0.04,0.48,1,0,1,0.73,0
Commercial District,00:57,No lighting,0.15,0.55,1,1,1,0.85,1
University Campus,04:53,No lighting,0.19,0.34,1,0,0,0.51,0
Main Road,04:05,Well-lit,0.26,0.55,0,1,1,0.25,1
Commercial District,20:35,No lighting,0.07,0.46,1,1,1,0.84,1
University Campus,00:00,Well-lit,0.0,0.22,1,0,1,0.46,1
Suburban Street,05:34,Moderately-lit,0.02,0.28,1,0,0,0.53,0
University Campus,20:31,Moderately-lit,0.25,0.23,1,0,0,0.51,0
University Campus,02:08,No lighting,0.56,0.33,1,0,0,0.6,0
Suburban Street,05:59,Poorly-lit,0.06,0.42,1,1,0,0.49,0
Alleyway,04:37,Well-lit,0.12,0.78,0,1,1,0.12,1
Public Transport Hub,19:13,Poorly-lit,0.36,0.57,1,1,1,0.87,1
Market Area,21:24,Well-lit,0.09,0.3,0,0,1,0.89,1
Park,00:47,Well-lit,0.67,0.66,0,0,0,0.1,0
Public Transport Hub,22:20,No lighting,0.08,0.52,0,1,1,0.85,0
Main Road,19:16,Poorly-lit,0.2,0.35,0,0,1,0.13,0
Public Transport Hub,05:28,Moderately-lit,0.18,0.44,0,0,1,0.71,0
Alleyway,01:01,Poorly-lit,0.14,0.78,1,0,0,0.11,0
Public Transport Hub,19:54,No lighting,0.46,0.6,0,1,1,0.75,1
Industrial Zone,20:45,Well-lit,0.11,0.63,0,1,0,0.17,0
Public Transport Hub,00:09,Moderately-lit,0.23,0.65,0,0,1,0.83,0
University Campus,03:22,No lighting,0.04,0.25,1,0,0,0.59,0
Public Transport Hub,23:07,Poorly-lit,0.63,0.57,0,1,1,0.73,1
Suburban Street,00:25,Poorly-lit,0.0,0.35,1,0,0,0.45,0
Main Road,01:53,Poorly-lit,0.19,0.35,1,1,0,0.24,0
Residential Area,20:43,No lighting,0.61,0.08,1,0,0,0.58,0
Park,03:33,Moderately-lit,0.04,0.6,1,0,1,0.21,0
Residential Area,04:08,Poorly-lit,0.13,0.2,1,1,0,0.47,0
University Campus,04:08,Moderately-lit,0.03,0.19,0,0,0,0.57,1
Alleyway,18:25,No lighting,0.11,0.89,0,1,0,0.13,0
Market Area,02:42,Moderately-lit,0.25,0.53,0,1,1,0.83,1
University Campus,01:56,Well-lit,0.54,0.35,1,1,0,0.6,1
Suburban Street,00:46,No lighting,0.4,0.3,0,0,0,0.52,0
Industrial Zone,04:40,Well-lit,0.54,0.65,1,0,0,0.19,1
Market Area,04:19,Moderately-lit,0.38,0.33,1,1,0,0.78,1
Industrial Zone,21:59,Poorly-lit,0.12,0.68,1,1,1,0.16,0
Residential Area,02:58,Poorly-lit,0.11,0.07,0,1,0,0.58,0
Market Area,04:17,Well-lit,0.02,0.4,0,0,0,0.83,1
Main Road,19:57,Well-lit,0.05,0.28,0,1,1,0.28,1
Market Area,00:08,Poorly-lit,0.14,0.38,0,0,0,0.87,0
Park,01:15,Poorly-lit,0.21,0.73,0,0,0,0.24,0
Alleyway,03:13,No lighting,0.31,0.92,0,0,0,0.15,0
Park,01:07,Poorly-lit,0.03,0.63,0,0,1,0.11,0
University Campus,20:40,Poorly-lit,0.31,0.32,1,0,0,0.55,0
Market Area,00:12,No lighting,0.16,0.35,1,0,1,0.75,0
Public Transport Hub,02:39,Well-lit,0.51,0.49,0,1,1,0.72,1
Commercial District,04:23,Moderately-lit,0.15,0.5,1,1,1,0.74,1
Public Transport Hub,21:21,Moderately-lit,0.09,0.43,1,1,1,0.89,1
Industrial Zone,19:33,No lighting,0.47,0.83,0,0,0,0.14,0
Industrial Zone,02:24,No lighting,0.2,0.81,0,0,1,0.29,0
Public Transport Hub,03:05,Well-lit,0.1,0.55,1,1,1,0.82,1
Industrial Zone,01:21,Well-lit,0.36,0.81,0,0,0,0.27,0
University Campus,05:20,No lighting,0.11,0.38,1,0,0,0.42,0
Industrial Zone,21:24,Poorly-lit,0.33,0.75,1,0,1,0.17,0
Main Road,19:03,No lighting,0.34,0.37,0,1,1,0.14,0
Market Area,03:17,Moderately-lit,0.07,0.31,1,0,1,0.74,1
Alleyway,19:39,Moderately-lit,0.52,0.94,0,0,0,0.11,0
Alleyway,18:35,Poorly-lit,0.3,0.91,0,0,0,0.19,0
Industrial Zone,18:14,Well-lit,0.04,0.78,0,0,0,0.18,0
Industrial Zone,20:44,No lighting,0.04,0.62,1,0,0,0.2,0
Residential Area,03:39,Poorly-lit,0.3,0.2,0,0,0,0.46,0
University Campus,21:15,Well-lit,0.59,0.28,0,0,0,0.47,1
University Campus,20:29,No lighting,0.34,0.32,1,1,0,0.45,0
Park,21:22,Poorly-lit,0.15,0.49,1,0,0,0.27,0
Park,23:27,Well-lit,0.13,0.61,0,0,0,0.19,0
Suburban Street,20:55,Poorly-lit,0.13,0.23,1,1,0,0.53,0
Market Area,00:34,Well-lit,0.21,0.47,0,0,0,0.72,1
Public Transport Hub,03:39,Moderately-lit,0.06,0.41,0,0,1,0.81,0
Market Area,01:32,No lighting,0.23,0.27,1,0,0,0.71,0
Commercial District,18:30,Well-lit,0.45,0.48,0,1,1,0.73,1
